CAU,CAU_NAME,TLA,TLA_NAME,TLA_06,TLA_06_NAME,YEAR,POP_PROJECTION
502400,Otangarei,2,Whangarei District,2,Whangarei District,2013,1930
502400,Otangarei,2,Whangarei District,2,Whangarei District,2018,1890
502400,Otangarei,2,Whangarei District,2,Whangarei District,2023,1850
502400,Otangarei,2,Whangarei District,2,Whangarei District,2028,1810
502400,Otangarei,2,Whangarei District,2,Whangarei District,2033,1740
502400,Otangarei,2,Whangarei District,2,Whangarei District,2038,1630
502400,Otangarei,2,Whangarei District,2,Whangarei District,2043,1500
502500,Western Hills,2,Whangarei District,2,Whangarei District,2013,270
502500,Western Hills,2,Whangarei District,2,Whangarei District,2018,280
502500,Western Hills,2,Whangarei District,2,Whangarei District,2023,280
502500,Western Hills,2,Whangarei District,2,Whangarei District,2028,290
502500,Western Hills,2,Whangarei District,2,Whangarei District,2033,290
502500,Western Hills,2,Whangarei District,2,Whangarei District,2038,290
502500,Western Hills,2,Whangarei District,2,Whangarei District,2043,290
502600,Kensington,2,Whangarei District,2,Whangarei District,2013,1330
502600,Kensington,2,Whangarei District,2,Whangarei District,2018,1340
502600,Kensington,2,Whangarei District,2,Whangarei District,2023,1340
502600,Kensington,2,Whangarei District,2,Whangarei District,2028,1340
502600,Kensington,2,Whangarei District,2,Whangarei District,2033,1320
502600,Kensington,2,Whangarei District,2,Whangarei District,2038,1300
502600,Kensington,2,Whangarei District,2,Whangarei District,2043,1270
502700,Mairtown,2,Whangarei District,2,Whangarei District,2013,2560
502700,Mairtown,2,Whangarei District,2,Whangarei District,2018,2600
502700,Mairtown,2,Whangarei District,2,Whangarei District,2023,2620
502700,Mairtown,2,Whangarei District,2,Whangarei District,2028,2640
502700,Mairtown,2,Whangarei District,2,Whangarei District,2033,2650
502700,Mairtown,2,Whangarei District,2,Whangarei District,2038,2650
502700,Mairtown,2,Whangarei District,2,Whangarei District,2043,2630
502800,Regent,2,Whangarei District,2,Whangarei District,2013,1730
502800,Regent,2,Whangarei District,2,Whangarei District,2018,1720
502800,Regent,2,Whangarei District,2,Whangarei District,2023,1710
502800,Regent,2,Whangarei District,2,Whangarei District,2028,1690
502800,Regent,2,Whangarei District,2,Whangarei District,2033,1660
502800,Regent,2,Whangarei District,2,Whangarei District,2038,1620
502800,Regent,2,Whangarei District,2,Whangarei District,2043,1570
502900,Woodhill,2,Whangarei District,2,Whangarei District,2013,1840
502900,Woodhill,2,Whangarei District,2,Whangarei District,2018,1930
502900,Woodhill,2,Whangarei District,2,Whangarei District,2023,2010
502900,Woodhill,2,Whangarei District,2,Whangarei District,2028,2070
502900,Woodhill,2,Whangarei District,2,Whangarei District,2033,2120
502900,Woodhill,2,Whangarei District,2,Whangarei District,2038,2160
502900,Woodhill,2,Whangarei District,2,Whangarei District,2043,2200
503000,Vinetown,2,Whangarei District,2,Whangarei District,2013,1620
503000,Vinetown,2,Whangarei District,2,Whangarei District,2018,1660
503000,Vinetown,2,Whangarei District,2,Whangarei District,2023,1710
503000,Vinetown,2,Whangarei District,2,Whangarei District,2028,1760
503000,Vinetown,2,Whangarei District,2,Whangarei District,2033,1790
503000,Vinetown,2,Whangarei District,2,Whangarei District,2038,1830
503000,Vinetown,2,Whangarei District,2,Whangarei District,2043,1850
503100,Whangarei Central,2,Whangarei District,2,Whangarei District,2013,190
503100,Whangarei Central,2,Whangarei District,2,Whangarei District,2018,190
503100,Whangarei Central,2,Whangarei District,2,Whangarei District,2023,190
503100,Whangarei Central,2,Whangarei District,2,Whangarei District,2028,190
503100,Whangarei Central,2,Whangarei District,2,Whangarei District,2033,190
503100,Whangarei Central,2,Whangarei District,2,Whangarei District,2038,180
503100,Whangarei Central,2,Whangarei District,2,Whangarei District,2043,180
503200,Riverside,2,Whangarei District,2,Whangarei District,2013,770
503200,Riverside,2,Whangarei District,2,Whangarei District,2018,770
503200,Riverside,2,Whangarei District,2,Whangarei District,2023,770
503200,Riverside,2,Whangarei District,2,Whangarei District,2028,760
503200,Riverside,2,Whangarei District,2,Whangarei District,2033,740
503200,Riverside,2,Whangarei District,2,Whangarei District,2038,720
503200,Riverside,2,Whangarei District,2,Whangarei District,2043,690
503300,Horahora,2,Whangarei District,2,Whangarei District,2013,1140
503300,Horahora,2,Whangarei District,2,Whangarei District,2018,1200
503300,Horahora,2,Whangarei District,2,Whangarei District,2023,1240
503300,Horahora,2,Whangarei District,2,Whangarei District,2028,1280
503300,Horahora,2,Whangarei District,2,Whangarei District,2033,1300
503300,Horahora,2,Whangarei District,2,Whangarei District,2038,1320
503300,Horahora,2,Whangarei District,2,Whangarei District,2043,1340
503400,Maunu,2,Whangarei District,2,Whangarei District,2013,1460
503400,Maunu,2,Whangarei District,2,Whangarei District,2018,1470
503400,Maunu,2,Whangarei District,2,Whangarei District,2023,1480
503400,Maunu,2,Whangarei District,2,Whangarei District,2028,1500
503400,Maunu,2,Whangarei District,2,Whangarei District,2033,1510
503400,Maunu,2,Whangarei District,2,Whangarei District,2038,1520
503400,Maunu,2,Whangarei District,2,Whangarei District,2043,1520
503500,Raumanga East,2,Whangarei District,2,Whangarei District,2013,1820
503500,Raumanga East,2,Whangarei District,2,Whangarei District,2018,1880
503500,Raumanga East,2,Whangarei District,2,Whangarei District,2023,1940
503500,Raumanga East,2,Whangarei District,2,Whangarei District,2028,1990
503500,Raumanga East,2,Whangarei District,2,Whangarei District,2033,2040
503500,Raumanga East,2,Whangarei District,2,Whangarei District,2038,2090
503500,Raumanga East,2,Whangarei District,2,Whangarei District,2043,2150
503600,Morningside,2,Whangarei District,2,Whangarei District,2013,2280
503600,Morningside,2,Whangarei District,2,Whangarei District,2018,2290
503600,Morningside,2,Whangarei District,2,Whangarei District,2023,2280
503600,Morningside,2,Whangarei District,2,Whangarei District,2028,2270
503600,Morningside,2,Whangarei District,2,Whangarei District,2033,2230
503600,Morningside,2,Whangarei District,2,Whangarei District,2038,2180
503600,Morningside,2,Whangarei District,2,Whangarei District,2043,2110
503700,Parahaki,2,Whangarei District,2,Whangarei District,2013,1220
503700,Parahaki,2,Whangarei District,2,Whangarei District,2018,1220
